GeneID	CON_1	GFP_1	CON_2	GFP_2	CON_3	GFP_3
Nfyb	1172	579	1886	1264	322	0
Nfyc	193	2	407	37	240	0
Ngb	45	6	13	2811	1874	649
Ngdn	2034	800	2401	732	1178	3
Ngef	82	1	65	15	12	0
Ngf	251	1	168	45	0	0
Ngfr	368	122	1707	222	1215	5
Ngly1	1278	251	2216	289	15	1
Ngp	3	0	0	2	1	0
Ngrn	1081	133	1502	302	3801	0
Nhej1	145	17	241	47	0	0
Nhlh1	12	2	0	6	0	0
Nhlh2	34	61	15	17	0	0
Nhlrc1	376	64	684	54	6	0
Nhlrc2	355	26	1225	91	1	0
Nhlrc3	334	8	500	110	0	0
Nhlrc4	13	0	0	3	0	0
Nhp2	2614	495	3171	3078	845	740
Nhs	66	14	36	2	6	0
Nhsl1	239	30	51	3	6	0
Nhsl2	241	43	90	25	42	2
Nicn1	2039	364	2672	336	1364	2
Nid1	2117	211	15966	931	110	6
Nid2	849	40	4820	183	19	2
Nif3l1	1250	254	1875	379	496	7
Nifk	2042	508	2930	506	49	8
Nim1k	154	81	261	127	1	1
Nin	359	273	270	104	3076	12
Ninj1	1987	148	3397	328	1087	0
Ninj2	6	0	0	7	0	0
Ninl	139	4	406	102	11	0
Nip7	1420	754	1993	2372	404	23
Nipa1	461	71	743	98	0	0
Nipa2	618	145	841	126	0	0
Nipal1	288	9	165	25	34	0
Nipal2	482	149	459	36	7	0
Nipal3	725	135	684	75	780	2
Nipal4	30	2	45	14	4	0
Nipbl	885	209	794	79	15	1
Nipsnap1	1303	310	1305	295	1183	10
Nipsnap3a	16	0	9	0	3	0
Nipsnap3b	2156	611	2510	301	4625	1
Nisch	2970	255	10321	8813	658	2130
Nit1	373	113	788	197	1	2
Nit2	533	336	990	214	2483	0
Nkain1	90	2	54	3	0	0
Nkain2	93	33	110	61	2	0
Nkain3	45	3	16	8	13	0
Nkain4	19	0	525	45	10	0
Nkap	384	38	473	74	10	0
Nkapl	39	6	7	21	0	0
Nkd1	159	90	488	75	1	0
Nkd2	497	103	4975	1160	117	1
Nkg7	9	2	36	0	0	0
Nkiras1	965	327	911	208	1641	2
Nkiras2	1472	79	2090	288	3	0
Nkpd1	22	2	14	13	9	0
Nkrf	345	30	219	22	0	0
Nktr	774	259	1155	179	20	3
Nkx1-1	0	0	0	12	0	3
Nkx1-2	15	1	0	0	8	0
Nkx2-1	3	1	1	6	1	0
Nkx2-2	18	3	0	4	0	0
Nkx2-2os	8	0	0	0	0	0
Nkx2-3	10	2	46	6	0	0
Nkx2-4	2	0	0	1	0	0
Nkx2-5	2	0	4	0	0	0
Nkx2-6	7	1	0	4	0	0
Nkx2-9	5	2	20	10	2	0
Nkx3-1	18	3	1	1	0	0
Nkx3-2	4	0	8	0	0	0
Nkx6-1	52	14	36	8	0	0
Nkx6-2	22	16	90	217	3	0
Nkx6-3	9	1	9	33	1	3
Nle1	152	34	202	49	12	0
Nlgn1	54	4	14	18	1	1
Nlgn2	148	34	101	7	123	0
Nlgn3	203	44	201	14	1	0
Nlk	435	57	434	80	511	0
Nlk-ps1	12	0	4	1	0	0
Nln	381	117	814	79	1932	0
Nlrc3	60	4	73	45	43	0
Nlrc4	30	2	30	0	1	0
Nlrc5	134	45	88	30	6	0
Nlrp10	17	2	54	2	0	0
Nlrp12	30	9	15	6	17	0
Nlrp14	10	7	0	0	0	0
Nlrp1a	15	1	0	17	12	2
Nlrp1b	28	1	2	0	7	0
Nlrp1c-ps	15	1	8	0	0	0
Nlrp2	17	1	0	0	0	0
Nlrp3	14	4	7	10	0	1
Nlrp4a	20	0	0	0	8	0
Nlrp4b	11	0	1	0	0	0
Nlrp4c	19	0	11	3	0	0
Nlrp4d	15	8	0	0	3	0
Nlrp4e	9	2	0	0	1	0
Nlrp4f	5	5	0	7	0	0
Nlrp4g	0	0	0	0	0	0
Nlrp5	6	3	0	6	0	0
Nlrp5-ps	9	10	19	3	1	0
Nlrp6	18	28	10	19	0	0
Nlrp9a	12	0	0	1	0	0
Nlrp9b	16	5	12	2	2	0
Nlrp9c	8	1	0	2	2	2
Nlrx1	175	42	473	47	4	2
Nmb	319	437	306	220	1520	1
Nmbr	59	3	4	11	0	1
Nmd3	2480	1304	3516	964	31	0
Nme1	5535	1954	7326	1897	7666	14
Nme2	97	37	172	74	197	0
Nme3	0	0	0	0	0	0
Nme4	414	85	657	102	0	0
Nme5	61	48	114	43	13	0
Nme6	321	68	447	88	6	0
Nme7	366	184	591	107	93	8
Nme8	12	16	14	0	2	0
Nme9	3	1	0	0	0	0
Nmi	437	172	221	90	0	0
Nmnat1	233	35	550	74	18	0
Nmnat2	580	98	1417	326	3294	111
Nmnat3	67	11	128	28	22	0
Nmral1	118	42	307	47	2	0
Nmrk1	528	102	578	148	4	0
Nmrk2	40	5	13	9	0	0
Nms	3	0	0	11	7	0
Nmt1	2657	540	4508	975	5023	132
Nmt2	834	323	868	806	865	195
